gen,max,min,avg
0,0.6666666666666666,0.0,0.4666666666666666
1,0.6666666666666666,0.0,0.4
2,0.8333333333333334,0.0,0.5166666666666666
3,0.8333333333333334,0.16666666666666666,0.5333333333333333
4,0.8333333333333334,0.3333333333333333,0.5333333333333333
5,0.8333333333333334,0.16666666666666666,0.4333333333333333
6,0.8333333333333334,0.3333333333333333,0.5333333333333333
7,0.8333333333333334,0.16666666666666666,0.55
8,0.8333333333333334,0.0,0.4833333333333333
9,1.0,0.16666666666666666,0.5166666666666667
